FID,startx,starty,endx,endy,length,crs_rad,crs_deg,startname,endname,startlat,startlon,endlat,endlon,WKT,startalt,endalt,slope_pc,speed
0,356388.942800,173012.620000,356400.315700,173004.556600,13.941,2.187538,125.34,HOMER,TESTA,51.4544042654,-2.6290347181,51.4543326462,-2.6288700557,"LINESTRING(356388.94287868 173012.62004635, 356400",0.00,5.00,35.87,5.00
1,356400.315700,173004.556600,356478.435100,173024.383300,80.596,1.322244,75.76,TESTA,SAFTI,51.4543326462,-2.6288700557,51.4545169345,-2.6277482921,"LINESTRING(356400.31573047 173004.55669124, 356478",5.00,0.00,-6.20,5.00
2,356478.435100,173024.383300,356473.676400,173036.464800,12.985,-0.375222,338.50,SAFTI,TWENI,51.4545169345,-2.6277482921,51.4546251921,-2.6278182649,"LINESTRING(356478.43515584 173024.38338107, 356473",0.00,0.00,0.00,5.00
3,356473.676400,173036.464800,356470.011600,173045.769100,10.000,-0.375221,338.50,TWENI,TENNA,51.4546251921,-2.6278182649,51.4547085642,-2.6278721530,"LINESTRING(356473.67647042 173036.46484901, 356470",0.00,-0.90,-9.00,2.00
4,356470.011600,173045.769100,356466.346800,173055.073300,10.000,-0.375225,338.50,TENNA,ALPHA,51.4547085642,-2.6278721530,51.4547919362,-2.6279260414,"LINESTRING(356470.01167907 173045.76911171, 356466",-0.90,-1.80,-9.00,2.00
5,356466.346800,173055.073300,356451.981100,173046.282400,16.842,-2.119947,238.54,ALPHA,BRAVO,51.4547919362,-2.6279260414,51.4547117890,-2.6281316937,"LINESTRING(356466.34688772 173055.07337441, 356451",-1.80,-1.70,0.59,2.00
6,356451.981100,173046.282400,356437.401000,173037.491400,17.025,-2.113379,238.91,BRAVO,CHALI,51.4547117890,-2.6281316937,51.4546316249,-2.6283404309,"LINESTRING(356451.98118987 173046.28242498, 356437",-1.70,-1.50,1.17,2.00
7,356437.401000,173037.491400,356421.963300,173028.486100,17.872,-2.098870,239.74,CHALI,DELTA,51.4546316249,-2.6283404309,51.4545494665,-2.6285614833,"LINESTRING(356437.40107861 173037.49147554, 356421",-1.50,-1.00,2.80,2.00
8,356421.963300,173028.486100,356403.952500,173017.765400,20.960,-2.107706,239.24,DELTA,ECKOH,51.4545494665,-2.6285614833,51.4544516867,-2.6288193503,"LINESTRING(356421.96331375 173028.4861127, 356403.",-1.00,0.00,4.77,2.00
9,356403.952500,173017.765400,356400.315700,173004.556600,13.700,-2.872918,195.39,ECKOH,TESTA,51.4544516867,-2.6288193503,51.4543326462,-2.6288700557,"LINESTRING(356403.95258809 173017.76544266, 356400",0.00,5.00,36.50,5.00
